college,major,4_year,5_year,6_year
School of Arch. and Planning,Environmental Design,7.69%,38.46%,76.92%
School of Engineering,Chemical Engineering,23.08%,69.23%,84.62%
School of Engineering,Civil Engineering,0.00%,22.22%,50.00%
School of Engineering,Computer Engineering,0.00%,23.08%,30.77%
School of Engineering,Computer Science,4.35%,17.39%,21.74%
School of Engineering,Construction Engineering,0.00%,0.00%,0.00%
School of Engineering,Construction Management,0.00%,33.33%,100.00%
School of Engineering,Electrical Engineering,3.70%,18.52%,44.44%
School of Engineering,General Engineering,0.00%,0.00%,0.00%
School of Engineering,Mechanical Engineering,15.56%,40.00%,64.44%
School of Engineering,Nuclear Engineering,42.86%,42.86%,42.86%
School of Medicine,Dental Hygiene,0.00%,6.25%,12.50%
School of Medicine,Emergency Medical Services,9.09%,50.00%,59.09%
School of Medicine,Medical Laboratory Sciences,0.00%,12.50%,37.50%
School of Medicine,Physician Assistant Studies,0.00%,0.00%,0.00%
School of Medicine,Radiologic Sciences,0.00%,0.00%,7.69%
University College,Native American Studies,0.00%,50.00%,50.00%
University College,Undecided,0.00%,0.00%,0.00%
University College,University Studies,7.89%,36.84%,44.74%
University Studies,Liberal Arts,0.00%,0.00%,0.00%
