college,major,4_year,5_year,6_year
College of Fine Arts,Pre Media Arts,0.00%,0.00%,0.00%
College of Fine Arts,Pre Music,0.00%,0.00%,0.00%
College of Fine Arts,Pre Music Education,0.00%,0.00%,0.00%
College of Fine Arts,Theatre,24.14%,44.83%,48.28%
College of Nursing,Nursing,18.03%,28.69%,31.97%
College of Pharmacy,Doctor of Pharmacy,31.91%,48.94%,48.94%
School of Arch. and Planning,Architecture,8.89%,37.78%,53.33%
School of Arch. and Planning,Environmental Design,5.88%,35.29%,64.71%
School of Engineering,Chemical Engineering,12.50%,58.33%,70.83%
School of Engineering,Civil Engineering,5.00%,20.00%,30.00%
School of Engineering,Computer Engineering,0.00%,35.29%,47.06%
School of Engineering,Computer Science,12.12%,33.33%,45.45%
School of Engineering,Construction Engineering,0.00%,14.29%,14.29%
School of Engineering,Construction Management,20.00%,40.00%,40.00%
School of Engineering,Electrical Engineering,20.00%,40.00%,52.00%
School of Engineering,General Engineering,0.00%,15.79%,15.79%
School of Engineering,Manufacturing Eng and Robotics,0.00%,0.00%,0.00%
School of Engineering,Mechanical Engineering,14.55%,47.27%,60.00%
School of Engineering,Nuclear Engineering,40.00%,100.00%,100.00%
School of Medicine,Dental Hygiene,0.00%,9.09%,13.64%
School of Medicine,Emergency Medical Services,8.00%,28.00%,40.00%
School of Medicine,Medical Laboratory Sciences,0.00%,20.00%,33.33%
School of Medicine,Physician Assistant Studies,0.00%,0.00%,0.00%
School of Medicine,Radiologic Sciences,0.00%,9.09%,9.09%
University College,Native American Studies,20.00%,40.00%,60.00%
University College,Undecided,0.54%,0.54%,0.54%
University College,University Studies,14.06%,40.63%,51.56%
